Motivo Teletrabajo;Provincia Contrato (grupo);Finalizado;Provincia Contrato;Contratos
Emergente;PICHINCHA;Finalizado;PICHINCHA;3
Emergente;SANTO DOMINGO DE LOS TSÁCHILAS;Finalizado;SANTO DOMINGO DE LOS TSÁCHILAS;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;MANABI;Finalizado;MANABI;2
Emergente;TUNGURAHUA;Vigente;TUNGURAHUA;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;2
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Emergente;AZUAY;Finalizado;AZUAY;2
Habitual;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;PICHINCHA;Vigente;PICHINCHA;2
Emergente;MANABI;Finalizado;MANABI;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Emergente;PICHINCHA;Vigente;PICHINCHA;4
Emergente;PICHINCHA;Finalizado;PICHINCHA;2
Emergente;PICHINCHA;Vigente;PICHINCHA;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;TUNGURAHUA;Finalizado;TUNGURAHUA;1
Emergente;GUAYAS;Vigente;GUAYAS;2
Habitual;COTOPAXI;Finalizado;COTOPAXI;1
Emergente;GUAYAS;Finalizado;GUAYAS;1
Habitual;ZAMORA CHINCHIPE;Finalizado;ZAMORA CHINCHIPE;1
Habitual;PICHINCHA;Vigente;PICHINCHA;2
Habitual;MORONA SANTIAGO;Finalizado;MORONA SANTIAGO;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;6
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Emergente;SANTO DOMINGO DE LOS TSÁCHILAS;Finalizado;SANTO DOMINGO DE LOS TSÁCHILAS;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;7
Emergente;CHIMBORAZO;Finalizado;CHIMBORAZO;1
Emergente;PICHINCHA;Vigente;PICHINCHA;2
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;GUAYAS;Vigente;GUAYAS;1
Emergente;IMBABURA;Finalizado;IMBABURA;1
Emergente;PICHINCHA;Vigente;PICHINCHA;19
Habitual;ESMERALDAS;Finalizado;ESMERALDAS;1
Emergente;PICHINCHA;Vigente;PICHINCHA;5
Habitual;CHIMBORAZO;Vigente;CHIMBORAZO;1
Habitual;PICHINCHA;Finalizado;PICHINCHA;1
Emergente;PICHINCHA;Vigente;PICHINCHA;3
Emergente;GUAYAS;Vigente;GUAYAS;2
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;IMBABURA;Finalizado;IMBABURA;1
Emergente;GUAYAS;Finalizado;GUAYAS;1
Emergente;GUAYAS;Finalizado;GUAYAS;4
Emergente;GUAYAS;Finalizado;GUAYAS;2
Emergente;GUAYAS;Finalizado;GUAYAS;1
Emergente;MANABI;Finalizado;MANABI;1
Emergente;GUAYAS;Vigente;GUAYAS;4
Emergente;GUAYAS;Vigente;GUAYAS;1
Emergente;EL ORO;Vigente;EL ORO;2
Emergente;GUAYAS;Finalizado;GUAYAS;22
Habitual;LOJA;Finalizado;LOJA;3
Emergente;GUAYAS;Finalizado;GUAYAS;1
Emergente;PICHINCHA;Vigente;PICHINCHA;1
Emergente;PICHINCHA;Vigente;PICHINCHA;4
Emergente;MANABI;Vigente;MANABI;1
Habitual;PICHINCHA;Vigente;PICHINCHA;2
Emergente;PICHINCHA;Finalizado;PICHINCHA;3
Habitual;IMBABURA;Vigente;IMBABURA;1
Habitual;PICHINCHA;Finalizado;PICHINCHA;1
Emergente;GUAYAS;Finalizado;GUAYAS;1
Habitual;TUNGURAHUA;Vigente;TUNGURAHUA;7
Emergente;PICHINCHA;Vigente;PICHINCHA;3
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;PICHINCHA;Finalizado;PICHINCHA;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;TUNGURAHUA;Finalizado;TUNGURAHUA;1
Emergente;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;PICHINCHA;Finalizado;PICHINCHA;1
Emergente;GUAYAS;Vigente;GUAYAS;1
Habitual;PICHINCHA;Finalizado;PICHINCHA;1
Habitual;PICHINCHA;Finalizado;PICHINCHA;1
